"NR_ZDARZENIA";"KATEGORIA";"DATA_UTWORZENIA";"DZIELNICA";"ULICA"
315469,00;"Zakłócanie";"2013-01-01 00:11:04";"BIELANY";"STEFANA  ŻEROMSKIEGO"
315471,00;"Bójka/Pobicie/Rozbój";"2013-01-01 00:13:27";"ŚRÓDMIEŚCIE";"MARSZAŁKOWSKA"
315473,00;"Zdrowie";"2013-01-01 00:15:17";"ŚRÓDMIEŚCIE";"WILCZA"
315477,00;"Zdrowie";"2013-01-01 00:17:53";"ŚRÓDMIEŚCIE";"CZERNIAKOWSKA"
315481,00;"Zdrowie";"2013-01-01 00:20:26";"WAWER";"BURSZTYNOWA"
315488,00;"Zdrowie";"2013-01-01 00:32:44";"ŚRÓDMIEŚCIE";"WSPÓLNA"
315495,00;"Zdrowie";"2013-01-01 00:50:38";"ŚRÓDMIEŚCIE";"MARSZAŁKOWSKA"
315497,00;"Zdrowie";"2013-01-01 00:52:20";"ŚRÓDMIEŚCIE";"PL. ZAMKOWY"
315501,00;"Zdrowie";"2013-01-01 00:59:10";"ŚRÓDMIEŚCIE";"PL. KONSTYTUCJI"
315502,00;"Zdrowie";"2013-01-01 01:02:12";"ŚRÓDMIEŚCIE";"MARSZAŁKOWSKA"
315503,00;"Zdrowie";"2013-01-01 01:03:37";"ŚRÓDMIEŚCIE";"MARSZAŁKOWSKA"
315504,00;"Zdrowie";"2013-01-01 01:04:46";"ŚRÓDMIEŚCIE";"NOWOGRODZKA"
315508,00;"Zdrowie";"2013-01-01 01:08:25";"ŚRÓDMIEŚCIE";"MOKOTOWSKA"
315514,00;"Zdrowie";"2013-01-01 01:16:29";"ŚRÓDMIEŚCIE";"HOŻA"
315515,00;"Zdrowie";"2013-01-01 01:17:33";"ŚRÓDMIEŚCIE";"TWARDA"
315516,00;"Zdrowie";"2013-01-01 01:21:03";"PRAGA POŁUDNIE";"GEN. TADEUSZA BORA-KOMOROWSKIEGO"
315517,00;"Zdrowie";"2013-01-01 01:21:04";"WŁOCHY";"KLESZCZOWA"
